OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,YearBuilt,YearRemodAdd,GarageCars,GarageArea,FullBath,TotRmsAbvGrd,KitchenQual,Fireplaces,LotArea,Neighborhood,ExterQual,PropertyType,DPE,HasPool,AgentID,SaleDate,SalePrice
5,9999,51.1,300,2000,1902,2,344.12,2.0,3,TA,2,37.5,Saint-Germain,Gd,Maison,C,0,,2022-06-03,64006831.0
8,83.4,104.1,1219.56,2017,1962,1,155.38,1.0,5,Gd,2,802.3,Bastille,Gd,Duplex,,0,,2020-03-25,873482.0
6,230.2,67.7,1271.29,1924,1908,1,548.7,2.0,5,Fa,2,327.7,Pigalle,Gd,Maison,E,0,Agent_30,2020-10-16,1316466.0
7,125.8,111.0,1103.58,1992,1912,3,465.85,3.0,5,Fa,1,121.9,Saint-Germain,Ex,Studio,,0,Agent_26,2019-06-16,945259.0
5,55.1,23.1,1220.86,2023,1960,0,511.42,1.0,8,,3,399.8,Auteuil,,APPARTEMENT,E,0,Agent_35,2022-09-24,560194.0
9,,197.1,806.76,1976,1963,1,534.46,1.0,6,,1,612.0,Pantin,TA,Appartement,D,0,,2017-10-23,1513898.0
3,201.9,66.0,962.45,0,1972,1,774.19,4.0,8,TA,2,1406.9,Bastille,TA,Duplex,,0,,2018-05-06,50000.0
4,29.6,50.1,852.89,1932,1927,0,217.07,1.0,50,Gd,3,269.0,BELLEVILLE,Gd,Maison,,0,Agent_19,2021-06-27,84217.0
8,170.9,75.0,1219.77,1957,1915,2,746.34,1.0,6,Ex,0,,Batignolles,Fa,Appartement,,0,Agent_25,2021-05-04,1883811.0
6,143.6,47.3,1061.45,1977,1930,2,215.58,1.0,2,Gd,0,119.4,Oberkampf,TA,Maison,,0,Agent_29,2016-11-22,1275627.0
8,250.4,100.1,620.46,1997,1955,1,,1.0,7,TA,0,111.2,Oberkampf,TA,Duplex,A,0,Agent_40,2022-10-10,2509543.0
3,249.7,98.9,55410.0,1930,1937,2,696.67,1.0,4,Gd,0,187.6 m²,Montmartre,Ex,Appartement,D,0,,2021-06-21,925388.0
8,138.5,71.1,1385.26,1940,1903,0,,1.0,5,Good,1,564.4,Pantin,Gd,Appartement,E,0,,2021-10-12,1320822.0
5,115.7,106.2,1159.8,1918,1948,3,182.3,2.0,5,Ex,1,377.8,Luxembourg,Ex,Appartement,C,0,Agent_12,2020-12-17,731704.0
6,256.6,73.1,884.3,1963,1993,2,792.77,3.0,6,Gd,0,227.9,Auteuil,Fa,Maison,F,0,,2022-07-12,2085527.0
5,203.2,2.5,1102.67,1918,2013,2,471.4,2.0,1,TA,0,262.5,Oberkampf,None,Studio,D,0,,2023-02-04,1204368.0
9,43.6,75.8,755.27,1960,1943,1,335.6,3.0,6,TA,No,488.0,Belleville,Fa,DUPLEX,G,1,,2017-02-26,420536.0
7,92.5,,1195.94,1928,,0,270.28,3.0,8,Gd,2,759.8,passy,Gd,Maison,F,0,Agent_3,27/9/2022,442531.0
8,98.2,0,747.61,1988,2000,1,112.1,2.0,3,TA,1,1065.6,Pantin,TA,Maison,,0,,2016-03-12,0.0
15,0,154.8,595.06,1957,1999,1,91.83,4.0,2,Gd,0,461.1,Nation,TA,Studio,,0,Agent_3,2016-12-06,50000.0
5,21.1,59.3,1289.35,1991,1979,1,885.24,0.0,2,Good,1,245.1,République,TA,Maison,,0,Agent_29,2017-04-23,176256.0
6,9999,118.4,1324.38,,1944,0,35585.0,1.0,4,TA,0,604.6,Passy,,Maison,G,1,Agent_43,2018-11-18,64497481.0
7,18.6,76.2,848.94,1951,1932,0,131.02,3.0,,Gd,1,144.1,Belleville,Gd,Appartement,D,0,,2015-03-10,142348.0
5,90.3 m²,154.6,1152.27,1945,2022,1,382.89,2.0,7,TA,0,717.1,Pig??,Ex,Duplex,C,0,,2023-04-26,829498.0
4,0,20.9,496.0 sqft,1916,1966,1,494.4,2.0,2,Ex,0,276.0,République,TA,Studio,D,Oui,Agent_48,2021-07-11,50000.0
7,193.6,98.4,1263.21,0,1994,0,590.37,3.0,8,TA,2,392.7,Pigalle,Gd,Appartement,D,0,Agent_23,2019-10-22,50000.0
6,137.9,221.3,1028.63,1944,1914,1,533.6,1.0,6,Gd,1,568.1,Opéra,Gd,Maison,F,0,Agent_26,2023-06-24,1106732.0
3,199.9,76.6,452.98,1929,,1,556.29,2.0,,Fa,1,1347.6,Bercy,Fa,Appartement,,0,,2016-01-12,1169648.0
8,115.9,36.3,970.13,1916,1951,0,204.39,1.0,6,Gd,0,9.2,République,TA,Duplex,,0,Agent_40,2020-11-13,1.0
6,114.5,116.5,988.02,1937,1919,0,300.34,2.0,8,TA,3,1123.1,Bastille,Ex,Appartement,D,0,Agent_17,2022-06-27,657115.0
4,44.2,153.0,750.36,1955,1999,0,709.15,2.0,8,Fa,1,123.4,Vincennes,Gd,Studio,E,0,Agent_3,2021-03-22,227241.0
4,172.0,70.8,1165.59,1976,1907,0,199.84,2.0,0,Excellent,3,738.3,Bercy,Gd,Studio,F,0,Agent_39,2021-02-09,1125112.0
6,101.8,27.7,1065.09,1922,1910,0,593.36,1.0,4,Fa,2,394.1,Vincennes,Gd,Maison,,0,Agent_30,2022-01-03,800703.0
5,134.3,15.0,840.64,1951,1904,1,-388.03,2.0,4,TA,0,245.0,Châtelet,ex,Appartement,D,0,Agent_8,2015-08-01,759688.0
3,73.0,126.9,970.5,1999,1919,1,533.17,1.0,5,TA,0,264.5,Marais,TA,Duplex,A,0,,2017-10-04,354697.0
6,88.4,,833.2,2003,1978,0,109.33,1.0,6,TA,,444.4,Saint-Germain,Ex,Maison,E,1,Agent_50,2020-08-22,744936.0
7,207.1,48.7,1621.65,1970,1951,1,250.28,1.0,4,Gd,0,653.9,Batignolles,Gd,Studio,D,1,Agent_20,2016-04-10,2139264.0
7,212.6,106.1,828.05,1969,1900,1,494.68,2.0,2,Gd,0,454.5,Clignancourt,TA,Appartement,B,1,Agent_33,2018-01-09,1740101.0
3,76.3,104.4,805.63,1937,1922,1,334.06,1.0,1,TA,1,704.4,Inconnu,Gd,Maison,,0,Agent_4,2016-08-25,273268.0
5,146.2,0.4,301.31,1970,1941,2,626.36,1.0,8,TA,2,829.3,Invalides,TA,Maison,D,0,,Q4 2016,839672.0
4,0,26.1,864.42,2010,1919,3,509.29,3.0,1,TA,1,413.8,BELLEVILLE,Ex,Studio,,1,,2023-04-28,50000.0
4,115.2,174.3,569.8,1940,1939,0,333.24,2.0,3,TA,0,719.3,Châtelet,Gd,Appartement,C,1,Agent_49,2019-03-09,505720.0
4,176.4,30.3,821.9,2021,1969,0,535.93,1.0,8,TA,0,346.6,Châtelet,TA,Appartement,,1,Agent_16,2017-09-06,1384904.0
5,251.2,66.4,300,1956,1921,1,,3.0,6,TA,1,,Montmartre,ta,Appartement,G,1,,2022-04-01,1448705.0
7,40.9,31.3,99279.0,1911,1980,1,490.3,2.0,1,ta,2,1150.1,Marais,Gd,Duplex,,1,,2021-08-26,276758.0
7,53.4,152.4,777.42,1974,1984,1,560.98,1.0,7,Ex,1,161.0,Invalides,Gd,Maison,,0,Agent_7,2022-09-13,513501.0
5,129.9,122.7,934.81,1901,1965,1,70.17,2.0,5,Gd,0,106.0,Bastille,Gd,Studio,D,Oui,,2015-05-28,453473.0
6,133.3,14.6,1619.1,1995,1983,2,276.8,2.0,6,Fa,0,1299.9,Saint-Germain,Fa,Maison,D,0,Agent_8,2021-11-12,1170954.0
6,148.9,139.7,1109.28,1929,1983,0,237.68,1.0,2,Gd,1,633.6,Pigalle,Gd,Studio,E,,,Q1 2018,766053.0
6,97.6,59.0,1467.9,1984,1992,1,317.59,1.0,8,Ex,0,630.0,Saint-Germain,Gd,Appartement,A,0,Agent_24,2023-12-26,833771.0
3,127.1,53.8,1324.79,1973,1938,1,389.92,2.0,6,Excellent,No,59.9,Nation,TA,Studio,G,1,Agent_13,2015-07-04,687676.0
6,92.6,179.4,509.07,2007,1983,,280.86,1.0,3,TA,0,371.7,Invalides,Ex,Maison,C,0,,2019-12-18,1039333.0
5,169.1,118.3,426.76,1951,1968,1,512.64,,6,Fa,1,352.4,Passy,Ex,Appartement,,0,Agent_40,2016-11-18,1754791.0
7,134.3,144.0,925.37,1948,2022,2,635.87,4.0,4,Excellent,0,603.9,Invalides,Gd,Maison,C,0,,,1122163.0
5,160.1,69.7,1222.99,1904,2001,-1,572.32,3.0,4,Fa,1,190.4,Marais,TA,Maison,F,0,,Non communiqué,789289.0
4,138.4,43.3,882.9,1914,1965,1,315.0 m²,1.0,6,Ex,0,1007.1,Vincennes,TA,Appartement,G,0,,2016-08-28,873011.0
6,120.0,119.7,1143.21,,1903,1,740.96,3.0,3,TA,1,83.5,Montmartre,Ex,Maison,E,1,,2019-01-02,825765.0
5,78.8,43.6,1109.99,2099,2000,1,760.96,1.0,2,Fa,2,621.0,Luxembourg,TA,Maison,B,0,Agent_8,2016-10-06,777905.0
4,,114.5,,1950,1971,2,370.25,2.0,1,Po,1,345.6,Luxembourg,Gd,Studio,,0,Agent_1,Q4 2022,651796.0
9,65.7,120.2,1212.04,1901,1929,3,561.27,2.0,4,TA,2,152.6,Passy,Ex,Appartement,D,0,,2021-06-04,542650.0
8,168.5,70.2,818.57,1985,1942,2,460.34,1.0,3,Fa,0,243.4,Belleville,TA,Duplex,F,0,Agent_39,2019-12-01,1948207.0
3,231.9,69.4,767.23,2004,2013,1,707.27,1.0,5,TA,1,427.7,Batignolles,TA,Studio,C,0,,2021-01-21,1523966.0
8,136.6,158.7,1335.41,1971,2019,0,-544.03,1.0,,TA,2,1059.3,Auteuil,Fa,DUPLEX,B,0,Agent_30,Non communiqué,1056831.0
6,166.4,91.8,1090.57,1969,2013,1,-842.12,1.0,4,Gd,1,785.8,Belleville,Fa,Loft,D,0,,2022-06-06,1637857.0
5,219.1,76.1,950.09,1915,1900,0,670.73,1.0,6,Gd,0,5.4,Bastille,,Maison,,1,Agent_46,2016-11-09,1090409.0
7,195.3,122.5,1184.44,1977,1953,2,331.35,2.0,7,Gd,1,508.6,Pigalle,TA,Maison,D,0,,2018-05-09,1756685.0
6,129.8 m²,128.9,1015.67,1916,2019,0,231.39,1.0,8,TA,1,505.3,Pantin,Gd,Duplex,D,1,Agent_33,2018-08-11,842062.0
5,124.8,19.0,884.63,1939,1974,0,-505.19,1.0,8,Excellent,0,193.5,Bastille,Ex,Studio,G,,Agent_29,2017-09-19,641329.0
10,199.2,33.8,1229.8,1974,2014,-1,462.73,2.0,3,Fa,,935.8,Vincennes,Ex,Appartement,,0,,2015-01-03,3301096.0
8,85.6,99.5,905.5,1950,1919,1,457.5,1.0,1,TA,0,690.2,Invalides,TA,Maison,C,1,,2022-12-21,918161.0
6,93.2,,1043.36,1938,2011,0,624.71,1.0,8,TA,1,504.0,Clignancourt,Gd,Appartement,,0,,2015-08-28,869824.0
7,231.8,121.3,1318.84,1939,1998,0,622.75,1.0,6 pièces,TA,0,4.9,Opéra,Ex,Villa,D,0,Agent_25,2022-05-27,2033449.0
3,156.7,55.6,1400.42,1968,,2,522.04,1.0,1,Gd,2,633.8,Vincennes,Gd,Maison,A,0,Agent_14,2020-03-10,1029674.0
7,127.1,51.4,748.09,1935,1948,0,734.0 m²,2.0,8,ex,1,554.8,Nation,TA,Appartement,,0,,2016-12-16,963353.0
7,195.5,60.6,880.78,1911,1988,1,714.95,,4,TA,2,914.7,Pigalle,Gd,Maison,,0,Agent_14,2017-03-14,1367902.0
8,255.2,125.2,1088.73,,1998,2,419.43,1.0,7,Gd,0,793.0,Montmartre,,house,,0,Agent_23,2023-12-05,2142387.0
5,109.3,63.1,895.95,1911,1911,1,,2.0,6,?,1,553.4,Bastille,Gd,Duplex,E,0,Agent_26,2017-08-27,525473.0
6,252.6,162.3,591.87,2000,1988,2,397.2,2.0,7,Gd,,61.8,Bercy,TA,Villa,,0,Agent_2,2016-12-04,2770221.0
0,140.1,73.1,1065.46,1997,1901,0,375.9,2.0,4,Fa,0,1084.0,Marais,Gd,Villa,C,0,Agent_5,2019-01-04,475485.0
6,80.5,,981.73,2011,1921,0,399.37,2.0,8,TA,1,253.5,Luxembourg,Fa,Maison,,1,Agent_6,2021-11-26,746993.0
8,72.1,77.8,871.78,1914,1978,2,520.91,2.0,8,TA,0,109.2,République,TA,Maison,C,0,,2016-06-15,420022.0
7,172.4,53.8,896.12,1950,1923,3,487.0 m²,1.0,3,ta,2,802.5,Passy,Ex,Studio,,0,Agent_4,2017-01-21,1536621.0
8,172.8,40.9,743.29,1923,1921,1,365.92,3.0,7,Gd,0,0,Pigalle,TA,Appartement,,,,2022-02-26,1522560.0
8,71.3,96.6,1094.0 sqft,1911,1947,Non,409.02,1.0,1,Fa,0,1083.0,Nation,TA,Appartement,D,0,,Non communiqué,505176.0
6,71.8,146.3,712.04,1977,1963,1,,4.0,1,Ex,0,157.9,Opéra,TA,Appartement,B,0,Agent_22,2017-06-01,629733.0
4,177.3,71.1,1311.36,2022,1939,1,476.8,2.0,8,Gd,2,1052.7,Vincennes,gd,Duplex,C,0,Agent_50,2017-12-03,1290939.0
6,78.0,117.3,377.39,1997,2001,2,757.59,0.0,7,TA,1,371.7,Châtelet,None,Appartement,D,0,Agent_49,2018-08-21,673539.0
7,0,94.0,310.78,1938,1937,0,571.34,2.0,3,Gd,,462.7,Passy,Ex,Studio,B,Non,,2022-11-04,50000.0
5/10,88.6,,1180.36,1967,1977,0,221.4,1.0,1,TA,0,,MONTMARTRE,Ex,Villa,E,0,,2015-03-05,637756.0
15,162.5,75.3,1521.59,1914,2001,0,366.42,2.0,-2,,1,252.6,République,Gd,Studio,,0,Agent_18,2023-10-27,1675000.0
7,71.9,11.4,755.83,1985,1966,2,415.0,2.0,1,TA,3,611.6,Marais,Ex,Maison,,0,,19/10/2022,438721.0
6,204.6,48.5,697.12,1900,1971,2,43263.0,1.0,7,Gd,0,345.7,Oberkampf,TA,Appartement,C,0,,2019-08-16,841763.0
1,11.0,94.1,1056.71,1991,1983,1,411.46,2.0,4,Ex,0,,République,Gd,Appartement,D,0,,2015-06-23,50000.0
,78.5,24.9,934.43,1989,1915,0,297.76,1.0,3,Ex,1,586.2,Montmartre,TA,Studio,G,1,,2020-08-18,524550.0
6,,55.3,753.98,1971,1907,3,596.28,1.0,1,Ex,0,554.2,Invalides,TA,Appartement,E,0,,2015-02-16,1080089.0
15,225.9,48.2,1146.53,1940,1985,2,406.23,1.0,7,TA,3,682.1,Montmartre,TA,Appartement,B,0,,2016-01-27,2533233.0
7,141.0,55.7,1545.12,1928,2004,,412.78,1.0,3,TA,2,1367.8,Pigalle,Ex,Appartement,E,0,,Non communiqué,890349.0
6,142.0,159.4,770.19,1928,1946,1,700.83,1.0,8,TA,Yes,200.2,Châtelet,Gd,Studio,F,1,,2021-05-24,973265.0
6,72.0 m²,104.9,452.43,1953,1991,1,108.48,2.0,1,Ex,0,427.1,Montmartre,Gd,Appartement,,0,Agent_45,2016-06-13,645040.0
5,239.8,92.8,766.88,1967,1966,1,840.16,1.0,6,TA,0,525.4,,Gd,Appartement,C,0,,2016-08-09,1708365.0
3,107.3,25.7,773.16,1948,1965,2,529.54,2.0,3,Fa,,384.8,Belleville,TA,Duplex,,0,,2018-07-23,528606.0
,74.4,104.8,1524.58,1930,2017,1,626.87,1.0,2,TA,0,365.3,Saint-Germain,Gd,Studio,G,1,,,445119.0
3,57.0,63.9,1296.66,1900,1935,0,288.75,3.0,3,TA,1,951.9,Auteuil,TA,Duplex,,1,,2021-07-12,235587.0
6,120.4 sqft,47.1,1091.67,1901,1904,0,570.32,1.0,7,TA,2,734.2 m²,République,TA,Appartement,,0,,2021-08-10,673906.0
4,171.1,103.0,-650.04,1927,1909,3,451.92,3.0,5,Ex,3,654.9,Passy,Gd,Appartement,G,0,Agent_31,2016-01-15,1030302.0
